index,frame_id,overall_score,accepted,wardrobe,scene,pose,head,tilt,MARK,note
0,OBS_000,93.7,True,cream-rib-crop+black-a-line-skirt,garden_terrace,crouch_low,chin_down,neutral,,
1,OBS_001,91.7,True,black-mock-long+mauve-joggers+mauve-knit-robe,cafe_interior_warm,walking_candid,slight_right_tilt,right,,
2,OBS_002,93.6,True,black-asym-long-midi,burgundy_black_lounge,seat_upright,over_shoulder_right,right,,
3,OBS_003,92.2,True,lilac-button-shirt+black-leggings+lilac-cardigan,sage_timber_loft,seat_cross_legged_chair,chin_up,neutral,,
4,OBS_004,91.9,True,chocolate-tank+black-knit-trousers,city_rooftop_dusk,stand_hands_pockets,candid_gaze_off,neutral,,
5,OBS_005,91.7,True,black-halter-jumpsuit,forest_gold_hotel,hand_on_furniture,three_quarter_left,neutral,,
6,OBS_006,89.3,False,plum-sport-top+lilac-knit-trousers,balcony_morning,stand_turned_away,eyes_to_camera_head_away,neutral,,
7,OBS_007,90.7,True,stone-sport-top+charcoal-slit-mini+lilac-cardigan,mono_charcoal_gallery,lean_wall,over_shoulder_left,neutral,,
8,OBS_008,90.7,True,plum-patterned-cami+cyan-pleated-skirt,walk_in_wardrobe,stand_adjusting,right_tilt,right,,
9,OBS_009,93.8,True,blue-floral-midi,balcony_morning,stand_relaxed,side_profile_left,neutral,,
10,OBS_010,92.1,True,cyan-daydress,white_stone_cobalt,seat_edge,straight_on,neutral,,
11,OBS_011,89.9,True,white-tank+gray-piped-shorts,backstage_dressing_room,stand_contrapposto,downcast_soft,neutral,,
12,OBS_012,91.7,True,sky-rib-tank+gray-joggers,fashion_studio_seamless,walking_turn,three_quarter_right,neutral,,
13,OBS_013,90.7,True,cream-v-sweater+black-wide-jeans+black-long-coat,terracotta_linen_sunroom,stand_arms_folded,upright_neutral,neutral,,
14,OBS_014,91.3,True,cream-square-long+light-straight-jeans+black-long-coat,cream_lavender_bedroom,stand_one_hand_hair,side_profile_right,neutral,,
15,OBS_015,91.1,True,cyan-tailored-midi,hotel_lobby_dark,sofa_arm_drape,looking_away_up,neutral,,
16,OBS_016,87.6,False,cream-rib-crop+plum-tailored-trousers+olive-cropped-jacket,modern_kitchen_stone,reaching_shelf,straight_on,neutral,,
17,OBS_017,90.4,True,plum-velvet-long,historic_stone_street,turning_to_camera,over_shoulder_left,neutral,,
18,OBS_018,89.3,True,cyan-square-top+cyan-long-pleats,modern_kitchen_stone,lean_counter,upright_neutral,neutral,,
19,OBS_019,90.7,True,black-square-top+black-tailored-trousers,marble_vanity_bathroom,stand_one_hand_hair,eyes_to_camera_head_away,neutral,,
20,OBS_020,88.5,True,plum-velvet-slip,burgundy_black_lounge,seat_edge,looking_away_down,neutral,,
21,OBS_021,88.7,True,black-tee+light-straight-jeans,botanical_courtyard,stand_adjusting,three_quarter_right,right,,
22,OBS_022,89.1,True,plum-v-knit-dress,concrete_chrome_studio,floor_seated,straight_on,neutral,,
23,OBS_023,89.7,True,lilac-mock-crop+blue-ripped-jeans,navy_oak_study,seat_sideways,side_profile_left,neutral,,
